device,videoName,luminanceReduction,bitrate,Power
BrandA-Model1,gameplay_4k_10s_luminance_60,1,11600,35.38
BrandA-Model1,timescapes_4k_8s_luminance_100,1,11600,42.239999999999995
BrandA-Model1,tos_4k_10s_luminance_120,1,11600,56.7
BrandA-Model1,tos_4k_10s_luminance_80,1,11600,36.08
BrandA-Model2,gameplay_4k_10s_luminance_60,1,11600,38.980000000000004
BrandA-Model2,timescapes_4k_8s_luminance_100,1,11600,45.2
BrandA-Model2,tos_4k_10s_luminance_120,1,11600,59.04
BrandA-Model2,tos_4k_10s_luminance_80,1,11600,39.88
BrandA-Model3,gameplay_4k_10s_luminance_60,1,11600,56.2
BrandA-Model3,timescapes_4k_8s_luminance_100,1,11600,66.0
BrandA-Model3,tos_4k_10s_luminance_120,1,11600,105.24000000000001
BrandA-Model3,tos_4k_10s_luminance_80,1,11600,55.379999999999995
BrandB-Model1,gameplay_4k_10s_luminance_60,1,11600,65.74000000000001
BrandB-Model1,timescapes_4k_8s_luminance_100,1,11600,84.8
BrandB-Model1,tos_4k_10s_luminance_120,1,11600,101.36
BrandB-Model1,tos_4k_10s_luminance_80,1,11600,68.97999999999999
BrandA-Model1,gameplay_4k_10s_luminance_60,2,600,34.44
BrandA-Model1,timescapes_4k_8s_luminance_100,2,600,39.86
BrandA-Model1,tos_4k_10s_luminance_120,2,600,55.32000000000001
BrandA-Model1,tos_4k_10s_luminance_80,2,600,35.14
BrandA-Model2,gameplay_4k_10s_luminance_60,2,600,37.739999999999995
BrandA-Model2,timescapes_4k_8s_luminance_100,2,600,43.519999999999996
BrandA-Model2,tos_4k_10s_luminance_120,2,600,57.02
BrandA-Model2,tos_4k_10s_luminance_80,2,600,38.5
BrandA-Model3,gameplay_4k_10s_luminance_60,2,600,51.8
BrandA-Model3,timescapes_4k_8s_luminance_100,2,600,65.6
BrandA-Model3,tos_4k_10s_luminance_120,2,600,101.92
BrandA-Model3,tos_4k_10s_luminance_80,2,600,53.64
BrandB-Model1,gameplay_4k_10s_luminance_60,2,600,64.52000000000001
BrandB-Model1,timescapes_4k_8s_luminance_100,2,600,83.8
BrandB-Model1,tos_4k_10s_luminance_120,2,600,100.06
BrandB-Model1,tos_4k_10s_luminance_80,2,600,67.86
BrandA-Model1,gameplay_4k_10s_luminance_60,2,2400,35.32
BrandA-Model1,timescapes_4k_8s_luminance_100,2,2400,41.18
BrandA-Model1,tos_4k_10s_luminance_120,2,2400,53.1
BrandA-Model1,tos_4k_10s_luminance_80,2,2400,35.06
BrandA-Model2,gameplay_4k_10s_luminance_60,2,2400,38.44
BrandA-Model2,timescapes_4k_8s_luminance_100,2,2400,44.6
BrandA-Model2,tos_4k_10s_luminance_120,2,2400,58.67999999999999
BrandA-Model2,tos_4k_10s_luminance_80,2,2400,39.36
BrandA-Model3,gameplay_4k_10s_luminance_60,2,2400,52.8
BrandA-Model3,timescapes_4k_8s_luminance_100,2,2400,65.56
BrandA-Model3,tos_4k_10s_luminance_120,2,2400,102.75999999999999
BrandA-Model3,tos_4k_10s_luminance_80,2,2400,53.98
BrandB-Model1,gameplay_4k_10s_luminance_60,2,2400,64.92
BrandB-Model1,timescapes_4k_8s_luminance_100,2,2400,83.4
BrandB-Model1,tos_4k_10s_luminance_120,2,2400,101.1
BrandB-Model1,tos_4k_10s_luminance_80,2,2400,68.74
BrandA-Model1,gameplay_4k_10s_luminance_60,2,4500,35.64
BrandA-Model1,timescapes_4k_8s_luminance_100,2,4500,41.14
BrandA-Model1,tos_4k_10s_luminance_120,2,4500,54.42
BrandA-Model1,tos_4k_10s_luminance_80,2,4500,34.88
BrandA-Model2,gameplay_4k_10s_luminance_60,2,4500,39.46
